,VendorID,CandidateAddress,RC,AC,CCS,reviews
12,41ec0f1350266dd8b22bb2535cb5dc98,3LSG4dW8xhvXMrxa7LJUN28vAyGkSwC4KX,1.0,1.0,1.0,1
39,a14c137d3bab517d1ea897c8bb922af6,3FW2rWrRQhfCM1ptFen96644rjESgT1pxk,1.0,1.0,1.0,1
46,8433c2592dab6b513a2a62fe116d2e94,3Kfsw5pe3cTipZA7CMoWpHQXhjcj5BEjUL,1.0,1.0,1.0,1
47,98236a3d290e786fa9a2751b43a35f6e,1LCRZ7MetdzwHm1wzNJPMVoZF91ryx9hko,1.0,1.0,1.0,1
54,dc30bc0c7914db5918da4263fce93ad2,1My4BZTaHX2k8sSpAec6p3qoGikgGhYcDJ,1.0,1.0,1.0,1
68,dfddc3e0679b86b804a5e2bfa0819e49,3QfERLojMyhgV733xu6xjgcFBAgx9dBcpz,1.0,1.0,1.0,1
119,a5fd7e58c9a7aef6935224676c4df5aa,3PfmYsBJf67r8NGxeNb1KCdkeNUuu8vBj6,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
0,1b3fe873430563d8ad26d93327b9652c,3Q8QGEh4xBJZjSDoM4CVKv3sjKoDSaktSN,0.5,0.6666666666666666,0.5714285714285715,4
1,b03786703e66800b109656fd1dcd9892,37vsjLhEgUm4QJGJBtbc2TgC6X5Kf2mm1C,0.4,1.0,0.5714285714285715,5
2,b03786703e66800b109656fd1dcd9892,1AjbUhCAnpwiouSVEhS3dJnQyUsAh5Y7ZD,0.4,1.0,0.5714285714285715,5
3,fd6a47385be1eec1e65090a8df001393,32hF16DDWF9TRyvvKMD3wWfvC5uTLGZbbz,0.4,1.0,0.5714285714285715,5
27,73a446ad3b830a0a059c51ed1b604e51,3HaHchKGMSxSLpE6Bm8jdUVVT9tTHJ4jds,0.2857142857142857,0.6666666666666666,0.4,7
90,6dfc0fd8af3d7fbb55b6bcaaf42a3dd4,13nE1AmWGCre4EpAQvyxmEReJEceVV41G1,0.25,1.0,0.4,4
91,6dfc0fd8af3d7fbb55b6bcaaf42a3dd4,1G13KKv1wrZ8MaMXGLUFvrjzXC54T3Vs3Q,0.25,1.0,0.4,4
0,d77858bc92ea0d0ffbcdefcf4df6b121,1FNAyCsEvhufZRt5zQ98U71BaeKoWD5dYh,0.18181818181818182,1.0,0.3076923076923077,11
1,f99440b7720f5ed2feffab4894aa03bd,35UiccUgoLCYUNMNkoTknScoHqzpTMNEtm,0.2222222222222222,0.5,0.30769230769230765,9
2,f3c9e91dfd52b9dbf11644635626dc29,197VasiaRKUHXU11aBcuZvMDUFa3gCRyyX,0.25,0.3333333333333333,0.28571428571428575,8
3,ac14525b3345931baaac32d56313a866,1CAHDxBLXUEqYXuinueXzmjtYjEUKA5Nyt,0.2222222222222222,0.4,0.2857142857142857,9
4,05315b850efb9d7c4f3843934a64dd42,14cyBPumxpw4eiwRf67Mw28ty5FrGFBk5d,0.15384615384615385,1.0,0.2666666666666667,13
5,05315b850efb9d7c4f3843934a64dd42,3Bjxof1RfEv31XtPvuo5Mzm1Qn83j78YuM,0.15384615384615385,1.0,0.2666666666666667,13
6,5866e44c5047968bedd5ae9ea0187253,3GoHGjjpGuKGkTegyvLf9iRUKBjsCTi55k,0.23076923076923078,0.3,0.2608695652173913,13
7,601d46d26f40abba6d7b168f33c14655,1KorskpACVJpoqA75SJWfJiGMPz5oc5H1V,0.18181818181818182,0.4,0.25000000000000006,11
8,0e2e1fba7c397eb48fa516d08cb15450,1ABqBzTBKpUdA5XMAqFt6847iw6QHM7rbg,0.2727272727272727,0.21428571428571427,0.23999999999999996,11
9,675a17fea241474f4afc16e76a08d40c,1KgmGeowzvRZjE6tJy3DbNiu4KR6Pkj1Qd,0.2222222222222222,0.25,0.23529411764705882,9
10,dfcabe71f44e6bbfa0be85b085d67810,34LeJHNp8U1yfEFyUAW2cGHQcQy3rBy8jp,0.2,0.25,0.22222222222222224,10
51,114224fa72cef02d515e3a1a49cdf4e5,1B2o5XxYcfoSd7kPwkhKEdnfAtFMczoiMF,0.125,1.0,0.2222222222222222,8
52,114224fa72cef02d515e3a1a49cdf4e5,1C31Jssb24EjueyewFUdjAGyVgoUJWWoBJ,0.125,1.0,0.2222222222222222,8
53,114224fa72cef02d515e3a1a49cdf4e5,1AEBYd6gAJzZPLkDf5dFUAggQoZ56dXKSf,0.125,1.0,0.2222222222222222,8
54,114224fa72cef02d515e3a1a49cdf4e5,1CYjrgm9ApG1PtgMcMJCb24jmgNSkdLRm8,0.125,1.0,0.2222222222222222,8
55,114224fa72cef02d515e3a1a49cdf4e5,3GZnw7kuydzJJStV1PXZop9dE2x21BR12m,0.125,1.0,0.2222222222222222,8
56,114224fa72cef02d515e3a1a49cdf4e5,1JFLM3x2eRFCPy9y8jRvnpGEMPBssGpJgH,0.125,1.0,0.2222222222222222,8
57,114224fa72cef02d515e3a1a49cdf4e5,1NTzkhhZBNRBMvyDr22KWVWdQDoExXysHu,0.125,1.0,0.2222222222222222,8
103,a7c84445799b7b5320450c0c4766a02b,1JURkzecZRbHdiUL1X38DQ5K1T4w8qDJam,0.15384615384615385,0.3333333333333333,0.21052631578947367,13
104,e5faf69ccb1356b767cc8622398556e5,3CeayjKTzs48hZHkHdedJVWnAnUi9n6WaH,0.15384615384615385,0.3333333333333333,0.21052631578947367,13
105,f959ded121eb2c3a2289176f2840312e,16kDtEuYStbK18JDUexvX1t2rY9chd7Mj6,0.25,0.17647058823529413,0.20689655172413793,12
0,8fa68da5be518435847cb59e53b09f83,3BHxA9CUscBWCvgbUTVd4eBqqfpWFXmazd,0.21052631578947367,0.6666666666666666,0.32,19
1,7cfdafca2f807054ebe02cde00e7013f,166sj9dMesjmQvU8vq3SRh3SuuUi3NPe8b,0.2777777777777778,0.3125,0.29411764705882354,18
2,f098a932b34eb84fca372e7ba690c851,3J7yVJoSAJSUtPGqcZFDELgjyqVvRS3rca,0.16666666666666666,0.75,0.27272727272727276,18
3,17ab77b2f58f5110152f5ea89cb04166,1D3c5Kr2YVpiPBgqoDg1PtD2sMXvqCksp4,0.125,0.6666666666666666,0.21052631578947367,16
4,44aa49f62a762cc95072955be3974939,3BMEXe9sq1idzNiLksC13Y8RDD8dTzAs9m,0.15,0.3333333333333333,0.20689655172413793,20
0,f4f40ab623e3b612b6b2a25b163edcea,157aMyXrfUkX7nq7UdHoMKyjKHoEsYq3SQ,0.19230769230769232,0.5,0.2777777777777778,26
1,ef243b9fed6d6c622c3a95475276a303,129SWv4e5rF2nNzr6GAnYaQ1N6S4hAgV2V,0.19047619047619047,0.4444444444444444,0.26666666666666666,21
0,ccd37b866b1e3ef007001e0c1a44c00e,195QZkhhKcodKbZvmTfWL1nsEx3Hajk2NK,0.2554347826086957,0.20085470085470086,0.22488038277511965,184
